Date,League,Season,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,B365H,B365D,B365A,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomePasses,AwayPasses,HomeSaves,AwaySaves,HomePos,AwayPos,HS_1P,AS_1P,HST_1P,AST_1P,HF_1P,AF_1P,HC_1P,AC_1P,HY_1P,AY_1P,HR_1P,AR_1P,HomePasses_1P,AwayPasses_1P,HomePos_1P,AwayPos_1P,HS_2P,AS_2P,HST_2P,AST_2P,HF_2P,AF_2P,HC_2P,AC_2P,HY_2P,AY_2P,HR_2P,AR_2P,HomePasses_2P,AwayPasses_2P,HomePos_2P,AwayPos_2P,fixture_id
20/06/2026,Brasileirao Serie B,2026/2027,VILA NOVA,NAUTICO RECIFE,4,3,4,1,H,0.0,0.0,0.0,13,20,6,7,14,12,2,10,2,2,0,0,264,524,4,2,33,67,13,20,6,7,14,12,2,10,2,2,0,0,264,524,33,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520739
17/05/2026,Brasileirao Serie B,2026/2027,SPORT RECIFE,CRB,1,2,0,1,A,0.0,0.0,0.0,13,12,3,6,14,13,3,2,2,4,0,0,386,314,5,2,55,45,13,12,3,6,14,13,3,2,2,4,0,0,386,314,55,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520688
05/06/2026,Brasileirao Serie B,2026/2027,OPERARIO-PR,JUVENTUDE,2,1,1,0,H,0.0,0.0,0.0,13,10,3,6,16,18,4,3,3,4,0,0,392,377,5,1,51,49,13,10,3,6,16,18,4,3,3,4,0,0,392,377,51,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520716
26/02/2026,Serie A Brasil,2026/2027,PALMEIRAS,FLUMINENSE,2,1,2,1,H,0.0,0.0,0.0,13,18,6,7,16,16,5,11,3,4,0,0,311,577,6,5,35,65,13,18,6,7,16,16,5,11,3,4,0,0,311,577,35,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492147
11/07/2026,Chinese Super League,2026/2027,CHENGDU BETTER CITY,CHONGQING TONGLIANG LONG,1,1,1,0,D,0.0,0.0,0.0,13,8,4,3,14,9,15,1,3,1,0,0,554,296,2,4,67,33,13,8,4,3,14,9,15,1,3,1,0,0,554,296,67,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523200
15/03/2026,Serie A Brasil,2026/2027,RB BRAGANTINO,SAO PAULO,1,2,1,0,A,0.0,0.0,0.0,13,4,3,3,18,13,6,4,4,4,0,0,318,328,1,2,50,50,13,4,3,3,18,13,6,4,4,4,0,0,318,328,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492161
11/03/2026,Serie A Brasil,2026/2027,BAHIA,VITORIA,1,1,1,1,D,0.0,0.0,0.0,13,6,7,2,17,19,7,3,1,1,0,0,482,287,1,6,63,37,13,6,7,2,17,19,7,3,1,1,0,0,482,287,63,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492152
06/06/2026,Brasileirao Serie B,2026/2027,CRICIUMA,LONDRINA,1,0,1,0,H,0.0,0.0,0.0,13,9,4,2,14,11,8,5,2,2,0,0,506,331,2,3,60,40,13,9,4,2,14,11,8,5,2,2,0,0,506,331,60,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520713
09/08/2026,1. Lig,2026/2027,IGDR FK,FATIH KARAGUMRUK,2,0,1,0,H,2.25,3.2,2.8,11,7,5,5,19,15,3,4,1,2,0,0,449,383,5,3,54,46,11,7,5,5,19,15,3,4,1,2,0,0,449,383,54,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1585693
09/08/2026,Chinese Super League,2026/2027,HENAN JIANYE,QINGDAO YOUTH ISLAND,0,0,0,0,D,1.67,3.8,5.0,12,5,5,0,15,11,6,3,1,2,1,0,470,322,0,5,58,42,12,5,5,0,15,11,6,3,1,2,1,0,470,322,58,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523232
08/08/2026,Chinese Super League,2026/2027,DALIAN ZHIXING,SHENYANG URBAN,1,0,1,0,H,1.7,4.1,4.33,12,5,4,1,18,20,6,3,1,2,0,0,305,358,1,2,46,54,12,5,4,1,18,20,6,3,1,2,0,0,305,358,46,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523229
09/08/2026,Jupiler Pro League,2026/2027,ZULTE WAREGEM,GENK,2,1,0,1,H,2.9,3.6,2.1,11,10,5,3,13,16,6,3,1,4,0,0,351,595,2,3,38,62,11,10,5,3,13,16,6,3,1,4,0,0,351,595,38,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558587
08/08/2026,Bundesliga Austria,2026/2027,GRAZER AK,AUSTRIA LUSTENAU,2,1,1,0,H,1.91,3.4,3.9,12,16,6,3,12,5,5,6,1,2,0,0,453,346,2,4,56,44,12,16,6,3,12,5,5,6,1,2,0,0,453,346,56,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1561901
05/04/2026,Brasileirao Serie B,2026/2027,BOTAFOGO SP,SAO BERNARDO,1,2,1,0,A,0.0,0.0,0.0,14,11,3,6,11,11,9,7,3,2,0,0,316,316,3,2,50,50,14,11,3,6,11,11,9,7,3,2,0,0,316,316,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520622
22/03/2026,Serie A Brasil,2026/2027,INTERNACIONAL,CHAPECOENSE-SC,2,0,1,0,H,0.0,0.0,0.0,14,10,7,0,16,9,4,4,2,3,0,1,402,432,0,5,48,52,14,10,7,0,16,9,4,4,2,3,0,1,402,432,48,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492185
19/04/2026,Brasileirao Serie B,2026/2027,FORTALEZA EC,CRICIUMA,3,2,2,1,H,0.0,0.0,0.0,14,6,4,3,18,16,4,3,3,2,0,0,334,429,0,3,44,56,14,6,4,3,18,16,4,3,3,2,0,0,334,429,44,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520644
12/04/2026,Serie A Brasil,2026/2027,ATLETICO PARANAENSE,CHAPECOENSE-SC,2,0,0,0,H,0.0,0.0,0.0,14,8,6,1,15,17,5,0,2,4,0,0,417,316,1,4,58,42,14,8,6,1,15,17,5,0,2,4,0,0,417,316,58,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492210
10/05/2026,Chinese Super League,2026/2027,QINGDAO JONOON,DALIAN ZHIXING,3,1,2,0,H,0.0,0.0,0.0,14,13,8,5,15,15,7,7,2,3,1,0,314,450,4,5,41,59,14,13,8,5,15,15,7,7,2,3,1,0,314,450,41,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523143
25/04/2026,Serie A Brasil,2026/2027,REMO,CRUZEIRO,0,1,0,1,A,0.0,0.0,0.0,14,6,1,6,15,22,4,1,1,3,0,0,325,393,5,1,47,53,14,6,1,6,15,22,4,1,1,3,0,0,325,393,47,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492238
25/04/2026,Chinese Super League,2026/2027,SHANGHAI SIPG,WUHAN THREE TOWNS,4,0,1,0,H,0.0,0.0,0.0,14,6,6,3,14,22,3,3,0,1,0,0,540,354,3,2,60,40,14,6,6,3,14,22,3,3,0,1,0,0,540,354,60,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523117
19/05/2026,Chinese Super League,2026/2027,SICHUAN JIUNIU,DALIAN ZHIXING,1,1,1,1,D,0.0,0.0,0.0,14,14,1,5,16,18,8,7,2,3,0,0,393,239,4,0,62,38,14,14,1,5,16,18,8,7,2,3,0,0,393,239,62,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523155
21/03/2026,Serie A Brasil,2026/2027,FLUMINENSE,ATLETICO-MG,1,0,1,0,H,0.0,0.0,0.0,14,14,4,5,18,15,3,2,5,5,0,0,466,362,4,3,56,44,14,14,4,5,18,15,3,2,5,5,0,0,466,362,56,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492184
15/03/2026,Serie A Brasil,2026/2027,INTERNACIONAL,BAHIA,0,1,0,1,A,0.0,0.0,0.0,14,7,2,1,20,20,7,1,3,2,0,0,380,359,1,2,53,47,14,7,2,1,20,20,7,1,3,2,0,0,380,359,53,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492166
04/07/2026,Brasileirao Serie B,2026/2027,NOVORIZONTINO,ATLETICO GOIANIENSE,3,0,1,0,H,0.0,0.0,0.0,14,8,7,0,12,11,5,6,2,1,0,0,308,476,0,3,40,60,14,8,7,0,12,11,5,6,2,1,0,0,308,476,40,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520758
24/05/2026,Serie A Brasil,2026/2027,VASCO DA GAMA,RB BRAGANTINO,0,3,0,1,A,0.0,0.0,0.0,14,21,6,9,13,14,6,6,1,3,0,0,385,259,7,6,59,41,14,21,6,9,13,14,6,6,1,3,0,0,385,259,59,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492278
25/07/2026,Serie A Brasil,2026/2027,ATLETICO PARANAENSE,INTERNACIONAL,2,0,1,0,H,0.0,0.0,0.0,14,13,4,3,13,8,3,7,0,0,0,0,353,417,3,2,46,54,14,13,4,3,13,8,3,7,0,0,0,0,353,417,46,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492300
21/04/2026,Chinese Super League,2026/2027,WUHAN THREE TOWNS,HANGZHOU GREENTOWN,2,0,1,0,H,0.0,0.0,0.0,14,8,3,2,13,11,6,7,1,4,0,0,385,434,2,1,47,53,14,8,3,2,13,11,6,7,1,4,0,0,385,434,47,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523109
