Date,League,Season,HomeTeam,AwayTeam,minuto,parte,goleador,asistente,jugador_tarjeta,equipo,tipo,fixture_id
26/02/2026,Serie A Brasil,2026,GREMIO,ATLETICO-MG,66,2P,Marlon,E. Noriega,,GREMIO,Normal Goal,1492146
26/02/2026,Serie A Brasil,2026,SANTOS,VASCO DA GAMA,25,1P,Neymar,Moises,,SANTOS,Normal Goal,1492149
26/02/2026,Serie A Brasil,2026,SANTOS,VASCO DA GAMA,43,1P,Cauan Barros,,,VASCO DA GAMA,Normal Goal,1492149
26/02/2026,Serie A Brasil,2026,SANTOS,VASCO DA GAMA,61,2P,Neymar,,,SANTOS,Normal Goal,1492149
11/03/2026,Serie A Brasil,2026,MIRASSOL,SANTOS,21,1P,Igor Formiga,Alesson,,MIRASSOL,Normal Goal,1492156
11/03/2026,Serie A Brasil,2026,MIRASSOL,SANTOS,71,2P,Negueba,Shaylon,,MIRASSOL,Normal Goal,1492156
11/03/2026,Serie A Brasil,2026,MIRASSOL,SANTOS,80,2P,Gabriel Barbosa,,,SANTOS,Normal Goal,1492156
11/03/2026,Serie A Brasil,2026,MIRASSOL,SANTOS,88,2P,Gabriel Barbosa,,,SANTOS,Penalty,1492156
11/03/2026,Serie A Brasil,2026,ATLETICO-MG,INTERNACIONAL,2,1P,Cuello,Hulk,,ATLETICO-MG,Normal Goal,1492151
11/03/2026,Serie A Brasil,2026,BAHIA,VITORIA,5,1P,Willian José,,,BAHIA,Missed Penalty,1492152
11/03/2026,Serie A Brasil,2026,BAHIA,VITORIA,45,1P,Ramon,,,VITORIA,Normal Goal,1492152
11/03/2026,Serie A Brasil,2026,BAHIA,VITORIA,45,1P,Jean Lucas,Willian Jose,,BAHIA,Normal Goal,1492152
12/03/2026,Serie A Brasil,2026,FLAMENGO,CRUZEIRO,5,1P,Pedro,,,FLAMENGO,Normal Goal,1492154
12/03/2026,Serie A Brasil,2026,FLAMENGO,CRUZEIRO,90,2P,J. Carrascal,Samuel Lino,,FLAMENGO,Normal Goal,1492154
12/03/2026,Serie A Brasil,2026,CORINTHIANS,CORITIBA,37,1P,Jacy,Josue,,CORITIBA,Normal Goal,1492153
12/03/2026,Serie A Brasil,2026,CORINTHIANS,CORITIBA,53,2P,Lucas Ronier,Josue,,CORITIBA,Normal Goal,1492153
12/03/2026,Serie A Brasil,2026,REMO,FLUMINENSE,16,1P,John Kennedy,Rene,,FLUMINENSE,Normal Goal,1492157
12/03/2026,Serie A Brasil,2026,REMO,FLUMINENSE,63,2P,A. Canobbio,L. Acosta,,FLUMINENSE,Normal Goal,1492157
12/03/2026,Serie A Brasil,2026,VASCO DA GAMA,PALMEIRAS,40,1P,J. Lopez,Marlon Freitas,,PALMEIRAS,Normal Goal,1492159
12/03/2026,Serie A Brasil,2026,VASCO DA GAMA,PALMEIRAS,63,2P,Thiago Mendes,David,,VASCO DA GAMA,Normal Goal,1492159
12/03/2026,Serie A Brasil,2026,VASCO DA GAMA,PALMEIRAS,74,2P,Cuiabano,Paulo Henrique,,VASCO DA GAMA,Normal Goal,1492159
12/03/2026,Serie A Brasil,2026,SAO PAULO,CHAPECOENSE-SC,47,2P,Luciano,Marcos Antonio,,SAO PAULO,Normal Goal,1492158
12/03/2026,Serie A Brasil,2026,SAO PAULO,CHAPECOENSE-SC,60,2P,Jonathan Calleri,D. Bobadilla,,SAO PAULO,Normal Goal,1492158
13/03/2026,Serie A Brasil,2026,GREMIO,RB BRAGANTINO,7,1P,Carlos Vinicius,J. Enamorado,,GREMIO,Normal Goal,1492155
13/03/2026,Serie A Brasil,2026,GREMIO,RB BRAGANTINO,66,2P,Rodriguinho,Juninho Capixaba,,RB BRAGANTINO,Normal Goal,1492155
14/03/2026,Serie A Brasil,2026,VITORIA,ATLETICO-MG,20,1P,Renato Kayzer,,,VITORIA,Normal Goal,1492169
14/03/2026,Serie A Brasil,2026,VITORIA,ATLETICO-MG,68,2P,Erick,Baralhas,,VITORIA,Normal Goal,1492169
14/03/2026,Serie A Brasil,2026,BOTAFOGO,FLAMENGO,13,1P,Samuel Lino,G. Varela,,FLAMENGO,Normal Goal,1492160
14/03/2026,Serie A Brasil,2026,BOTAFOGO,FLAMENGO,45,1P,Leo Pereira,,,FLAMENGO,Normal Goal,1492160
14/03/2026,Serie A Brasil,2026,BOTAFOGO,FLAMENGO,49,2P,Pedro,G. Varela,,FLAMENGO,Normal Goal,1492160
15/03/2026,Serie A Brasil,2026,INTERNACIONAL,BAHIA,23,1P,Willian Jose,,,BAHIA,Normal Goal,1492166
15/03/2026,Serie A Brasil,2026,FLUMINENSE,ATLETICO PARANAENSE,5,1P,S. Mendoza,B. Zapelli,,ATLETICO PARANAENSE,Normal Goal,1492165
15/03/2026,Serie A Brasil,2026,FLUMINENSE,ATLETICO PARANAENSE,9,1P,Hercules,J. Savarino,,FLUMINENSE,Normal Goal,1492165
15/03/2026,Serie A Brasil,2026,FLUMINENSE,ATLETICO PARANAENSE,37,1P,A. Canobbio,J. Savarino,,FLUMINENSE,Normal Goal,1492165
15/03/2026,Serie A Brasil,2026,FLUMINENSE,ATLETICO PARANAENSE,75,2P,Luiz Gustavo,L. Esquivel,,ATLETICO PARANAENSE,Normal Goal,1492165
15/03/2026,Serie A Brasil,2026,FLUMINENSE,ATLETICO PARANAENSE,90,2P,Guilherme Arana,,,FLUMINENSE,Normal Goal,1492165
15/03/2026,Serie A Brasil,2026,SANTOS,CORINTHIANS,18,1P,M. Depay,Kaio Cesar,,CORINTHIANS,Normal Goal,1492168
15/03/2026,Serie A Brasil,2026,SANTOS,CORINTHIANS,21,1P,Gabriel Barbosa,Neymar,,SANTOS,Normal Goal,1492168
15/03/2026,Serie A Brasil,2026,PALMEIRAS,MIRASSOL,26,1P,J. Lopez,Mauricio,,PALMEIRAS,Normal Goal,1492167
15/03/2026,Serie A Brasil,2026,CORITIBA,REMO,24,1P,Pedro Rocha,Breno Lopes,,CORITIBA,Normal Goal,1492163
15/03/2026,Serie A Brasil,2026,CRUZEIRO,VASCO DA GAMA,8,1P,Christian,Kaiki,,CRUZEIRO,Normal Goal,1492164
15/03/2026,Serie A Brasil,2026,CRUZEIRO,VASCO DA GAMA,52,2P,Cauan Barros,Cuiabano,,VASCO DA GAMA,Normal Goal,1492164
15/03/2026,Serie A Brasil,2026,CRUZEIRO,VASCO DA GAMA,54,2P,Cauan Barros,,,VASCO DA GAMA,Normal Goal,1492164
15/03/2026,Serie A Brasil,2026,CRUZEIRO,VASCO DA GAMA,70,2P,N. Villarreal,Chico,,CRUZEIRO,Normal Goal,1492164
15/03/2026,Serie A Brasil,2026,CRUZEIRO,VASCO DA GAMA,86,2P,Brenner,J. Rodriguez,,VASCO DA GAMA,Normal Goal,1492164
15/03/2026,Serie A Brasil,2026,CRUZEIRO,VASCO DA GAMA,90,2P,Japa,Kaua Moraes,,CRUZEIRO,Normal Goal,1492164
15/03/2026,Serie A Brasil,2026,RB BRAGANTINO,SAO PAULO,36,1P,J. Herrera,,,RB BRAGANTINO,Normal Goal,1492161
15/03/2026,Serie A Brasil,2026,RB BRAGANTINO,SAO PAULO,53,2P,Sabino,Danielzinho,,SAO PAULO,Normal Goal,1492161
15/03/2026,Serie A Brasil,2026,RB BRAGANTINO,SAO PAULO,68,2P,Jonathan Calleri,Lucas Ramon,,SAO PAULO,Normal Goal,1492161
16/03/2026,Serie A Brasil,2026,CHAPECOENSE-SC,GREMIO,28,1P,W. Clar,,,CHAPECOENSE-SC,Penalty,1492162
16/03/2026,Serie A Brasil,2026,CHAPECOENSE-SC,GREMIO,45,1P,J. Nardoni,,,GREMIO,Normal Goal,1492162
18/03/2026,Serie A Brasil,2026,BAHIA,RB BRAGANTINO,17,1P,Luciano Juba,Jean Lucas,,BAHIA,Normal Goal,1492172
18/03/2026,Serie A Brasil,2026,BAHIA,RB BRAGANTINO,40,1P,Erick,,,BAHIA,Normal Goal,1492172
18/03/2026,Serie A Brasil,2026,PALMEIRAS,BOTAFOGO,9,1P,Allan Elias,Andreas Pereira,,PALMEIRAS,Normal Goal,1492177
18/03/2026,Serie A Brasil,2026,PALMEIRAS,BOTAFOGO,53,2P,J. Arias,Andreas Pereira,,PALMEIRAS,Normal Goal,1492177
