Date,League,Season,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,B365H,B365D,B365A,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomePasses,AwayPasses,HomeSaves,AwaySaves,HomePos,AwayPos,HS_1P,AS_1P,HST_1P,AST_1P,HF_1P,AF_1P,HC_1P,AC_1P,HY_1P,AY_1P,HR_1P,AR_1P,HomePasses_1P,AwayPasses_1P,HomePos_1P,AwayPos_1P,HS_2P,AS_2P,HST_2P,AST_2P,HF_2P,AF_2P,HC_2P,AC_2P,HY_2P,AY_2P,HR_2P,AR_2P,HomePasses_2P,AwayPasses_2P,HomePos_2P,AwayPos_2P,fixture_id
15/03/2026,Serie A Brasil,2026,INTERNACIONAL,BAHIA,0,1,0,1,A,0.0,0.0,0.0,14,7,2,1,20,20,7,1,3,2,0,0,380,359,1,2,53,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492166
15/03/2026,Serie A Brasil,2026,FLUMINENSE,ATLETICO PARANAENSE,3,2,2,1,H,0.0,0.0,0.0,24,4,10,2,14,9,7,1,2,3,0,1,680,183,0,7,79,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492165
15/03/2026,Serie A Brasil,2026,SANTOS,CORINTHIANS,1,1,1,1,D,0.0,0.0,0.0,11,10,4,3,20,15,4,6,5,2,1,0,299,383,2,3,44,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492168
15/03/2026,Serie A Brasil,2026,PALMEIRAS,MIRASSOL,1,0,1,0,H,0.0,0.0,0.0,11,12,4,2,14,17,2,4,1,4,0,0,360,469,2,3,43,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492167
15/03/2026,Serie A Brasil,2026,CORITIBA,REMO,1,0,1,0,H,0.0,0.0,0.0,8,14,4,1,13,11,4,6,2,3,0,0,289,384,1,3,42,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492163
15/03/2026,Serie A Brasil,2026,CRUZEIRO,VASCO DA GAMA,3,3,1,0,D,0.0,0.0,0.0,20,15,6,7,9,11,5,4,1,2,0,1,459,315,2,3,60,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492164
15/03/2026,Serie A Brasil,2026,RB BRAGANTINO,SAO PAULO,1,2,1,0,A,0.0,0.0,0.0,13,4,3,3,18,13,6,4,4,4,0,0,318,328,1,2,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492161
16/03/2026,Serie A Brasil,2026,CHAPECOENSE-SC,GREMIO,1,1,1,1,D,0.0,0.0,0.0,11,13,1,4,16,10,4,5,3,3,0,0,290,574,3,0,35,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492162
18/03/2026,Serie A Brasil,2026,BAHIA,RB BRAGANTINO,2,0,2,0,H,0.0,0.0,0.0,15,16,9,3,15,16,7,7,3,1,0,0,457,333,3,6,57,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492172
18/03/2026,Serie A Brasil,2026,PALMEIRAS,BOTAFOGO,2,1,1,0,H,0.0,0.0,0.0,19,6,6,3,13,13,6,1,1,2,0,1,401,368,2,5,52,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492177
18/03/2026,Serie A Brasil,2026,ATLETICO PARANAENSE,CRUZEIRO,2,1,2,0,H,0.0,0.0,0.0,8,11,4,2,26,20,4,6,2,3,0,0,392,410,1,2,49,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492170
